price,area,bedrooms,bathrooms,year_built,dataset,price_per_sqft,log_price,house_age
215000.0,1656.0,3.0,1.0,1960.0,Ames,129.83091787439614,12.278397958261774,66.0
105000.0,896.0,2.0,1.0,1961.0,Ames,117.1875,11.561725152903833,65.0
172000.0,1329.0,3.0,1.5,1958.0,Ames,129.4206170052671,12.055255569732177,68.0
244000.0,2110.0,3.0,2.5,1968.0,Ames,115.63981042654028,12.404927602627597,58.0
189900.0,1629.0,3.0,2.5,1997.0,Ames,116.57458563535911,12.15425816271595,29.0
195500.0,1604.0,3.0,2.5,1998.0,Ames,121.88279301745636,12.18332077348399,28.0
213500.0,1338.0,2.0,2.0,2001.0,Ames,159.56651718983557,12.271396795480596,25.0
191500.0,1280.0,2.0,2.0,1992.0,Ames,149.609375,12.162648309521318,34.0
236500.0,1616.0,2.0,2.0,1995.0,Ames,146.3490099009901,12.373707715234994,31.0
189000.0,1804.0,3.0,2.5,1999.0,Ames,104.76718403547672,12.149507585033072,27.0
175900.0,1655.0,3.0,2.5,1993.0,Ames,106.28398791540785,12.077676615757813,33.0
185000.0,1187.0,3.0,2.0,1992.0,Ames,155.85509688289807,12.128116509451258,34.0
180400.0,1465.0,3.0,2.5,1998.0,Ames,123.13993174061433,12.102937429832547,28.0
171500.0,1341.0,2.0,1.5,1990.0,Ames,127.889634601044,12.052344376474922,36.0
212000.0,1502.0,1.0,1.5,1985.0,Ames,141.1451398135819,12.264346270624157,41.0
538000.0,3279.0,4.0,3.5,2003.0,Ames,164.0744129307716,13.195615697878253,23.0
164000.0,1752.0,4.0,2.0,1988.0,Ames,93.60730593607306,12.00762780434872,38.0
394432.0,1856.0,1.0,1.5,2010.0,Ames,212.51724137931035,12.885204569609956,16.0
141000.0,864.0,2.0,1.0,1951.0,Ames,163.19444444444446,11.856522261533737,75.0
210000.0,2073.0,3.0,2.0,1978.0,Ames,101.30246020260492,12.25486757159303,48.0
190000.0,1844.0,3.0,2.0,1977.0,Ames,103.03687635574838,12.154784614286667,49.0
170000.0,1173.0,3.0,2.0,1974.0,Ames,144.92753623188406,12.04355959836804,52.0
216000.0,1674.0,3.0,2.5,2000.0,Ames,129.03225806451613,12.283038316285214,26.0
149000.0,1004.0,2.0,1.0,1970.0,Ames,148.40637450199202,11.91170829631447,56.0
149900.0,1078.0,3.0,1.5,1971.0,Ames,139.05380333951763,11.917730355182513,55.0
142000.0,1056.0,3.0,1.0,1968.0,Ames,134.46969696969697,11.863589378812122,58.0
126000.0,882.0,2.0,1.0,1970.0,Ames,142.85714285714286,11.744045122410057,56.0
115000.0,864.0,3.0,1.0,1971.0,Ames,133.10185185185185,11.652696102959753,55.0
